"id","tax_group_id","name","name@ru_RU","description","description@ru_RU","invoice_label","invoice_label@ru_RU","type_tax_use","amount","amount_type","sequence","price_include","active"
"purchase_vat_0","tax_group_vat_0","VAT 0%","НДС 0%","","","VAT 0%","НДС 0%","purchase","0.0","percent","","True","False"
"sale_vat_0","tax_group_vat_0","VAT 0%","НДС 0%","","","VAT 0%","НДС 0%","sale","0.0","percent","","True","False"
"purchase_vat_5","tax_group_vat_5","VAT 5%","НДС 5%","","","VAT 5%","НДС 5%","purchase","5.0","percent","","True","False"
"sale_vat_5","tax_group_vat_5","VAT 5%","НДС 5%","","","VAT 5%","НДС 5%","sale","5.0","percent","","True","False"
"purchase_vat_10","tax_group_vat_10","VAT 10%","НДС 10%","","","VAT 10%","НДС 10%","purchase","10.0","percent","","True","False"
"sale_vat_10","tax_group_vat_10","VAT 10%","НДС 10%","","","VAT 10%","НДС 10%","sale","10.0","percent","","True","False"
"purchase_vat_15","tax_group_vat_15","VAT 15%","НДС 15%","","","VAT 15%","НДС 15%","purchase","15.0","percent","","True","False"
"sale_vat_15","tax_group_vat_15","VAT 15%","НДС 15%","","","VAT 15%","НДС 15%","sale","15.0","percent","","True","False"
"purchase_vat_20","tax_group_vat_20","VAT 20%","НДС 20%","","","VAT 20%","НДС 20%","purchase","20.0","percent","","True","True"
"sale_vat_20","tax_group_vat_20","VAT 20%","НДС 20%","","","VAT 20%","НДС 20%","sale","20.0","percent","","True","True"
"sale_asts_8","tax_group_asts_8","ASTS 8%","АУСН 8%","","","ASTS 8%","АУСН 8%","sale","8.0","division","","True","False"
"sale_asts_20","tax_group_asts_20","ASTS 20%","АУСН 20%","","","ASTS 20%","АУСН 20%","sale","20.0","division","","True","False"
"sale_sts_6","tax_group_sts_6","STS 6%","УСН 6%","","","STS 6%","УСН 6%","sale","6.0","division","","True","False"
"sale_sts_15","tax_group_sts_15","STS 15%","УСН 15%","","","STS 15%","УСН 15%","sale","15.0","division","","True","False"
"sale_uat_0","tax_group_uat_0","UAT 0%","ЕСХН 0%","","","UAT 0%","ЕСХН 0%","sale","0.0","division","","True","False"
"sale_uat_1","tax_group_uat_1","UAT 1%","ЕСХН 1%","","","UAT 1%","ЕСХН 1%","sale","1.0","division","","True","False"
"sale_uat_2","tax_group_uat_2","UAT 2%","ЕСХН 2%","","","UAT 2%","ЕСХН 2%","sale","2.0","division","","True","False"
"sale_uat_3","tax_group_uat_3","UAT 3%","ЕСХН 3%","","","UAT 3%","ЕСХН 3%","sale","3.0","division","","True","False"
"sale_uat_4","tax_group_uat_4","UAT 4%","ЕСХН 4%","","","UAT 4%","ЕСХН 4%","sale","4.0","division","","True","False"
"sale_uat_5","tax_group_uat_5","UAT 5%","ЕСХН 5%","","","UAT 5%","ЕСХН 5%","sale","5.0","division","","True","False"
"sale_uat_6","tax_group_uat_6","UAT 6%","ЕСХН 6%","","","UAT 6%","ЕСХН 6%","sale","6.0","division","","True","False"
"sale_pts_0","tax_group_pts_0","PTS 0%","ПСН 0%","","","PTS 0%","ПСН 0%","sale","0.0","division","","True","False"
"sale_set_4","tax_group_set_4","SET 4%","НПД 4%","","","SET 4%","НПД 4%","sale","4.0","division","","True","False"
"sale_set_6","tax_group_set_6","SET 6%","НПД 6%","","","SET 6%","НПД 6%","sale","6.0","division","","True","False"
